periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2,param3
121,100.0,0.004491226001051291,1,1,0,10000,10044.912260010513,10044.912260010513,10000,4.714822134387352,69.56521739130434,9,5,7,4
122,66.66666666666666,0.0017807070144938632,3,2,1,10044.912260010513,10062.799305731889,10136.27028617354,10044.912260010513,4.746753246753247,68.57142857142857,9,5,7,4
123,66.66666666666666,0.001374464683299524,3,2,1,10062.799305731889,10076.630267992748,10151.902516176964,10062.799305731889,4.6884716732542815,68.11594202898551,5,9,12,4
124,66.66666666666666,0.0016653018069445868,3,2,1,10076.630267992748,10093.41089858595,10167.187264684466,10076.630267992748,2.85,68.75,26,10,5,5
125,100.0,0.00910132846590373,2,2,0,10093.41089858595,10185.274346515313,10185.274346515313,10093.41089858595,3.0626262626262624,69.44444444444444,8,6,52,2
127,50.0,-0.0053699057770940604,4,2,2,10185.274346515313,10130.580382960672,10185.274346515313,10039.923749895785,2.7039184952978057,68.96551724137932,11,22,33,4
128,50.0,-0.0027099686660647265,2,1,1,10130.580382960672,10103.126827553799,10130.580382960672,10058.288507997606,2.414822134387352,69.56521739130434,8,36,43,5
129,100.0,0.0090090183274452,2,2,0,10103.126827553799,10194.146082307734,10194.146082307734,10103.126827553799,2.9172176308539948,69.6969696969697,17,6,5,3
130,50.0,-0.002518982191253211,2,1,1,10194.146082307734,10168.467209871367,10194.146082307734,10122.095880490884,3.5879110251450674,68.08510638297872,5,8,55,3
131,100.0,0.004539895189879609,1,1,0,10168.467209871367,10214.63098524591,10214.63098524591,10168.467209871367,3.144019138755981,68.42105263157895,9,5,40,3
132,100.0,0.013613977372795035,3,3,0,10214.63098524591,10353.6927403505,10353.6927403505,10214.63098524591,3.2727272727272725,70.0,5,7,5,1
133,100.0,0.018179929481478358,4,4,0,10353.6927403505,10541.922144242966,10541.922144242966,10353.6927403505,3.3181818181818183,72.5,7,5,5,1
134,100.0,0.009073741754852,2,2,0,10541.922144242966,10637.576823379582,10637.576823379582,10541.922144242966,3.5879110251450674,68.08510638297872,13,13,11,4
135,100.0,0.004469037970521094,1,1,0,10637.576823379582,10685.116558117601,10685.116558117601,10637.576823379582,2.898973607038123,74.19354838709677,5,5,5,1
136,100.0,0.009076635026174423,2,2,0,10685.116558117601,10782.101461327768,10782.101461327768,10685.116558117601,3.4396694214876034,68.18181818181817,14,12,20,4
137,100.0,0.009111148361896589,2,2,0,10782.101461327768,10880.338787394947,10880.338787394947,10782.101461327768,3.4396694214876034,68.18181818181817,14,12,40,4
138,80.0,0.010811635263045457,5,4,1,10880.338787394947,10997.973041902627,10997.973041902627,10802.64406178002,3.9192967409948545,69.81132075471697,17,5,5,5
139,100.0,0.009108687234101643,2,2,0,10997.973041902627,11098.1501385504,11098.1501385504,10997.973041902627,3.665280464216634,72.3404255319149,17,5,5,4
140,100.0,0.004494156385191079,1,1,0,11098.1501385504,11148.026960859375,11148.026960859375,11098.1501385504,3.7727272727272725,70.0,12,13,5,5
141,25.0,-0.01699481264881138,4,1,3,11148.026960859375,10958.568331255672,11197.1998136687,10958.568331255672,3.79777183600713,68.62745098039215,12,13,5,5
142,100.0,0.008934719383176767,2,2,0,10958.568331255672,11056.48006413681,11056.48006413681,10958.568331255672,5.034848484848485,70.66666666666667,6,5,5,4
143,80.0,0.010513173029515032,5,4,1,11056.48006413681,11172.718752148463,11172.718752148463,10975.827970858443,5.84505928853755,68.47826086956522,5,6,5,5
144,100.0,0.013265015273093815,3,3,0,11172.718752148463,11320.925037037694,11320.925037037694,11172.718752148463,4.622314049586777,72.72727272727273,5,6,5,4
147,0.0,-0.007198155729255012,1,0,1,11320.925037037694,11239.435255621875,11320.925037037694,11239.435255621875,3.65,68.75,15,9,8,5
148,66.66666666666666,0.0017715265914538276,3,2,1,11239.435255621875,11259.346214050132,11259.346214050132,11158.567833340183,3.65,68.75,15,9,6,5
149,100.0,0.004446028706788027,1,1,0,11259.346214050132,11309.405590537464,11309.405590537464,11259.346214050132,2.9967532467532467,68.57142857142857,18,9,7,5
152,75.0,0.012744427768488087,8,6,2,11309.405590537464,11453.537493190604,11485.39311348857,11309.405590537464,3.208741258741259,69.23076923076923,7,5,7,3
153,33.33333333333333,-0.009982117443381316,3,1,2,11453.537493190604,11339.206936791405,11453.537493190604,11339.206936791405,2.9967532467532467,68.57142857142857,14,5,5,2
154,100.0,0.004412833436401077,1,1,0,11339.206936791405,11389.244968304349,11389.244968304349,11339.206936791405,2.9967532467532467,68.57142857142857,5,14,5,2
155,50.0,-0.0026459915404018876,2,1,1,11389.244968304349,11359.10912246665,11389.244968304349,11308.020854744227,2.7039184952978057,68.96551724137932,6,5,21,3
156,50.0,-0.0027273518782551906,2,1,1,11359.10912246665,11328.128834866186,11359.10912246665,11277.581573506923,2.7727272727272725,70.0,5,5,20,3
157,100.0,0.0045252711100328006,1,1,0,11328.128834866186,11379.391689013335,11379.391689013335,11328.128834866186,2.85,68.75,5,5,21,3
158,100.0,0.004464502229531316,1,1,0,11379.391689013335,11430.195008579645,11430.195008579645,11379.391689013335,2.7727272727272725,70.0,5,5,22,3
159,66.66666666666666,0.0016107527223569037,3,2,1,11430.195008579645,11448.606226306785,11530.544831967949,11430.195008579645,2.8403225806451613,70.96774193548387,5,5,22,3
161,75.0,0.006638941766957843,4,3,1,11448.606226306785,11524.612856356067,11607.191003591006,11448.606226306785,3.0368983957219253,73.52941176470588,5,34,5,3
162,100.0,0.022733451948192696,5,5,0,11524.612856356067,11786.607088947561,11786.607088947561,11524.612856356067,3.2916851441241683,68.29268292682927,12,12,5,4
163,66.66666666666666,0.0017626736103263127,3,2,1,11786.607088947561,11807.383030218534,11807.383030218534,11702.05598612865,3.355411255411256,69.04761904761905,12,12,5,4
164,100.0,0.009013286620089387,2,2,0,11807.383030218534,11913.806357703073,11913.806357703073,11807.383030218534,3.3181818181818183,72.5,5,34,5,3
165,100.0,0.00443754895172433,1,1,0,11913.806357703073,11966.674456616745,11966.674456616745,11913.806357703073,3.4396694214876034,68.18181818181817,18,8,5,3
167,100.0,0.004473501364456182,1,1,0,11966.674456616745,12020.207391126423,12020.207391126423,11966.674456616745,3.5648221343873523,69.56521739130434,5,30,5,3
168,50.0,-0.0027240402640556285,2,1,1,12020.207391126423,11987.463862210696,12020.207391126423,11934.051381116942,3.5025252525252526,68.88888888888889,30,5,5,3
169,100.0,0.017928305973654125,4,4,0,11987.463862210696,12202.37878218053,12202.37878218053,11987.463862210696,3.336031042128603,70.73170731707317,31,5,5,4
170,50.0,-0.002895859879064642,2,1,1,12202.37878218053,12167.042403036065,12256.194049203217,12167.042403036065,3.418498942917547,69.76744186046511,31,5,5,4
172,50.0,-0.00261579552692064,2,1,1,12167.042403036065,12135.215907942349,12167.042403036065,12080.140224169974,3.604347826086957,71.73913043478261,31,5,5,3
173,100.0,0.0044533035972326015,1,1,0,12135.215907942349,12189.257708598383,12189.257708598383,12135.215907942349,3.48099173553719,70.45454545454545,31,5,5,4
174,66.66666666666666,0.0032166863157849766,6,4,2,12189.257708598383,12228.466727069208,12298.832234087966,12121.467698078026,3.48099173553719,70.45454545454545,5,31,5,3
175,0.0,-0.007281380930834159,1,0,1,12228.466727069208,12139.426602629386,12228.466727069208,12139.426602629386,3.5648221343873523,69.56521739130434,5,31,5,4
176,100.0,0.00881596534643066,2,2,0,12139.426602629386,12246.447366883705,12246.447366883705,12139.426602629386,3.5648221343873523,69.56521739130434,23,5,5,3
179,66.66666666666666,0.0010016459665735866,3,2,1,12246.447366883705,12258.7139714936,12298.3372843995,12206.994298614503,3.5879110251450674,68.08510638297872,8,11,5,2
180,100.0,0.004351771683534852,1,1,0,12258.7139714936,12312.0610958313,12312.0610958313,12258.7139714936,2.9967532467532467,68.57142857142857,6,36,5,4
181,100.0,0.004327640785373842,1,1,0,12312.0610958313,12365.343273581633,12365.343273581633,12312.0610958313,2.9967532467532467,68.57142857142857,36,6,5,4
182,66.66666666666666,0.0010230189789187417,3,2,1,12365.343273581633,12377.993254431352,12377.993254431352,12273.438661902846,3.144019138755981,68.42105263157895,5,37,5,4
183,50.0,-0.006282831083926077,4,2,2,12377.993254431352,12300.224413655784,12392.27348744053,12287.56684602244,4.390981240981241,68.25396825396825,8,10,5,4
184,66.66666666666666,0.0012816717212413692,3,2,1,12300.224413655784,12315.98926345169,12315.98926345169,12208.033764008342,2.9967532467532467,68.57142857142857,5,40,5,5
185,66.66666666666666,0.0008020239475914129,3,2,1,12315.98926345169,12325.866981779256,12325.866981779256,12223.454403051237,2.9967532467532467,68.57142857142857,7,27,5,2
187,25.0,-0.01935716433066632,4,1,3,12325.866981779256,12087.273149095021,12325.866981779256,12041.814497739644,4.804801536491677,69.01408450704226,5,12,5,5
188,50.0,-0.003493328736656337,2,1,1,12087.273149095021,12045.048330455473,12136.510406224195,12045.048330455473,4.65668449197861,69.11764705882352,12,5,5,5
189,100.0,0.008189414188194296,2,2,0,12045.048330455473,12143.69022015039,12143.69022015039,12045.048330455473,4.539669421487604,68.18181818181817,5,12,5,5
190,66.66666666666666,9.152180274097815e-05,3,2,1,12143.69022015039,12144.801632571267,12239.858819874406,12143.69022015039,4.45,68.75,12,5,5,5
191,50.0,-0.003808991581856503,2,1,1,12144.801632571267,12098.542185389486,12144.801632571267,12051.043931228181,4.390981240981241,68.25396825396825,5,12,5,5
192,100.0,0.008124676794957972,2,2,0,12098.542185389486,12196.83893033594,12196.83893033594,12098.542185389486,4.331669150521609,70.49180327868852,12,5,5,5
193,50.0,-0.0037915460744563922,2,1,1,12196.83893033594,12150.594053568848,12196.83893033594,12102.576267896458,4.2727272727272725,70.0,5,12,5,5
194,100.0,0.011313194902339209,3,3,0,12150.594053568848,12288.056092276076,12288.056092276076,12150.594053568848,4.09401913875598,68.42105263157895,5,12,5,5
195,0.0,-0.007753142118376588,1,0,1,12288.056092276076,12192.785047034076,12288.056092276076,12192.785047034076,4.09401913875598,68.42105263157895,9,5,7,5
