periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2
164,66.66666666666666,0.0017112931228168583,3,2,1,12119.071086820875,12139.81036982668,12228.03921515272,12119.071086820875,3.355411255411256,69.04761904761905,6,26,3
165,66.66666666666666,0.001437156410861424,3,2,1,12139.81036982668,12157.257176126319,12246.598114714532,12139.81036982668,3.2916851441241683,68.29268292682927,7,22,4
166,50.0,-0.002858871851267578,2,1,1,12157.257176126319,12122.50113579687,12210.235394623476,12122.50113579687,3.945791245791246,68.51851851851852,7,15,3
168,33.33333333333333,-0.009858250515180123,3,1,2,12122.50113579687,12002.99448272963,12122.50113579687,12002.99448272963,3.5025252525252526,68.88888888888889,13,15,3
169,33.33333333333333,-0.009972731317576448,3,1,2,12002.99448272963,11883.291843747014,12002.99448272963,11830.539845421885,3.0626262626262624,69.44444444444444,6,29,4
170,0.0,-0.007274007396525165,1,0,1,11883.291843747014,11796.852690980531,11883.291843747014,11796.852690980531,2.9967532467532467,68.57142857142857,12,20,3
171,85.71428571428571,0.019231109104411066,7,6,1,11796.852690980531,12023.719252169443,12023.719252169443,11710.92455168844,3.5879110251450674,68.08510638297872,8,6,2
172,66.66666666666666,0.0019169222168099894,3,2,1,12023.719252169443,12046.767786732613,12046.767786732613,11937.840754719391,3.0487012987012987,71.42857142857143,13,20,3
173,100.0,0.008889394933281653,2,2,0,12046.767786732613,12153.856263258414,12153.856263258414,12046.767786732613,2.9967532467532467,68.57142857142857,22,5,4
174,100.0,0.01339953090509089,3,3,0,12153.856263258414,12316.712235873978,12316.712235873978,12153.856263258414,2.983422459893048,70.58823529411765,22,5,3
175,0.0,-0.007281380930834135,1,0,1,12316.712235873978,12227.029562269114,12316.712235873978,12227.029562269114,2.9172176308539948,69.6969696969697,17,15,3
176,60.0,-0.0014534750657274743,5,3,2,12227.029562269114,12209.257879672443,12334.86570485655,12155.522692237699,3.7257575757575756,72.91666666666666,12,5,2
177,66.66666666666666,0.0014089516231147767,3,2,1,12209.257879672443,12226.460133379034,12226.460133379034,12119.8271225792,3.809090909090909,72.0,12,5,2
178,80.0,0.00977129945511386,5,4,1,12226.460133379034,12345.928536618292,12345.928536618292,12136.50753430864,3.809090909090909,72.0,12,5,2
179,75.0,0.005335450355512153,4,3,1,12345.928536618292,12411.79962541812,12452.030695535495,12345.928536618292,3.928671328671329,73.07692307692307,12,5,2
180,50.0,-0.006306827077226172,4,2,2,12411.79962541812,12333.520551463427,12464.231878596607,12333.520551463427,3.869073083778966,72.54901960784314,12,5,2
182,100.0,0.004309168697790462,1,1,0,12333.520551463427,12386.667772157349,12386.667772157349,12333.520551463427,2.85,68.75,17,23,4
183,50.0,-0.0032242005555286387,2,1,1,12386.667772157349,12346.73067104521,12439.805747834733,12346.73067104521,2.9172176308539948,69.6969696969697,22,13,5
184,80.0,0.01059407934014786,5,4,1,12346.73067104521,12477.5329153657,12511.978319748183,12346.73067104521,2.983422459893048,70.58823529411765,22,10,5
